# Ir_i,Pd_i,Pt_i,Rh_i,Ru_i,Ir_f,Pd_f,Pt_f,Rh_f,Ru_f,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d,fd
0.257,0.166,0.172,0.240,0.166,0.250,0.202,0.250,0.226,0.073,0.230,0.020,0.000,0.340,0.410,0.419
0.199,0.216,0.206,0.179,0.199,0.172,0.241,0.241,0.328,0.017,0.210,0.000,0.000,0.290,0.500,0.392
0.209,0.253,0.152,0.196,0.189,0.262,0.274,0.131,0.262,0.071,0.220,0.050,0.010,0.320,0.400,0.284
0.196,0.220,0.186,0.193,0.206,0.235,0.277,0.244,0.210,0.034,0.240,0.040,0.000,0.250,0.470,0.402
0.203,0.166,0.196,0.250,0.186,0.241,0.241,0.241,0.250,0.028,0.180,0.030,0.000,0.350,0.440,0.365
0.162,0.169,0.220,0.220,0.230,0.195,0.195,0.289,0.266,0.055,0.220,0.010,0.000,0.320,0.450,0.432
0.182,0.240,0.155,0.199,0.223,0.286,0.295,0.179,0.223,0.018,0.200,0.020,0.000,0.330,0.450,0.378
0.179,0.223,0.233,0.193,0.172,0.190,0.241,0.353,0.190,0.026,0.220,0.030,0.000,0.360,0.390,0.392
0.193,0.189,0.206,0.220,0.193,0.232,0.216,0.240,0.296,0.016,0.180,0.010,0.000,0.340,0.470,0.422
0.206,0.172,0.169,0.223,0.230,0.267,0.210,0.210,0.238,0.076,0.210,0.030,0.010,0.310,0.440,0.355
0.209,0.189,0.199,0.179,0.223,0.188,0.274,0.239,0.248,0.051,0.190,0.020,0.000,0.310,0.480,0.395
0.172,0.216,0.220,0.209,0.182,0.239,0.202,0.248,0.275,0.037,0.220,0.030,0.000,0.340,0.410,0.368
0.209,0.176,0.216,0.182,0.216,0.248,0.190,0.267,0.219,0.076,0.190,0.020,0.010,0.330,0.450,0.355
0.196,0.186,0.223,0.240,0.155,0.290,0.196,0.243,0.252,0.019,0.170,0.020,0.000,0.420,0.390,0.361
0.216,0.193,0.189,0.182,0.220,0.239,0.315,0.228,0.185,0.033,0.210,0.030,0.010,0.330,0.420,0.311
0.186,0.203,0.186,0.186,0.240,0.340,0.247,0.216,0.186,0.010,0.200,0.010,0.000,0.300,0.490,0.328
0.209,0.220,0.169,0.213,0.189,0.230,0.221,0.221,0.265,0.062,0.180,0.010,0.000,0.340,0.470,0.382
0.162,0.179,0.213,0.223,0.223,0.155,0.262,0.282,0.262,0.039,0.180,0.020,0.000,0.330,0.470,0.348
0.203,0.193,0.193,0.213,0.199,0.250,0.214,0.205,0.250,0.080,0.230,0.030,0.000,0.360,0.380,0.378
0.199,0.209,0.179,0.189,0.223,0.253,0.189,0.221,0.295,0.042,0.190,0.050,0.000,0.270,0.490,0.321
0.166,0.186,0.209,0.243,0.196,0.255,0.200,0.264,0.255,0.027,0.170,0.020,0.000,0.370,0.440,0.372
0.199,0.213,0.199,0.216,0.172,0.284,0.209,0.209,0.269,0.030,0.210,0.030,0.000,0.350,0.410,0.453
0.193,0.236,0.193,0.189,0.189,0.230,0.320,0.221,0.213,0.016,0.180,0.030,0.000,0.290,0.500,0.412
0.176,0.196,0.247,0.182,0.199,0.212,0.239,0.327,0.177,0.044,0.190,0.030,0.000,0.360,0.420,0.382
0.206,0.213,0.203,0.169,0.209,0.306,0.265,0.204,0.194,0.031,0.170,0.020,0.000,0.310,0.500,0.331
0.240,0.169,0.226,0.189,0.176,0.304,0.200,0.280,0.160,0.056,0.210,0.020,0.000,0.310,0.460,0.422
0.216,0.182,0.203,0.196,0.203,0.217,0.235,0.235,0.270,0.043,0.210,0.040,0.000,0.280,0.470,0.389
0.243,0.209,0.186,0.182,0.179,0.269,0.185,0.208,0.285,0.054,0.200,0.030,0.000,0.300,0.470,0.439
0.189,0.172,0.240,0.193,0.206,0.211,0.275,0.321,0.174,0.018,0.240,0.020,0.010,0.280,0.450,0.368
0.193,0.220,0.172,0.196,0.220,0.212,0.283,0.253,0.202,0.051,0.210,0.020,0.000,0.310,0.460,0.334
0.189,0.216,0.203,0.193,0.199,0.243,0.224,0.299,0.224,0.009,0.240,0.030,0.000,0.310,0.420,0.361
0.233,0.162,0.182,0.199,0.223,0.279,0.183,0.269,0.212,0.058,0.200,0.010,0.000,0.330,0.460,0.351
0.226,0.193,0.209,0.169,0.203,0.311,0.200,0.256,0.200,0.033,0.230,0.030,0.000,0.310,0.430,0.304
0.193,0.206,0.203,0.203,0.196,0.304,0.200,0.235,0.235,0.026,0.210,0.030,0.000,0.290,0.470,0.389
0.223,0.186,0.189,0.216,0.186,0.294,0.255,0.127,0.294,0.029,0.190,0.020,0.000,0.330,0.460,0.345
0.152,0.230,0.189,0.226,0.203,0.182,0.255,0.227,0.255,0.082,0.150,0.030,0.000,0.370,0.450,0.372
0.199,0.209,0.213,0.193,0.186,0.260,0.236,0.268,0.189,0.047,0.210,0.010,0.010,0.320,0.450,0.429
0.226,0.169,0.247,0.209,0.149,0.214,0.234,0.240,0.253,0.058,0.200,0.020,0.000,0.400,0.380,0.520
0.220,0.189,0.196,0.226,0.169,0.277,0.223,0.277,0.188,0.036,0.180,0.050,0.000,0.360,0.410,0.378
0.169,0.176,0.155,0.223,0.277,0.318,0.243,0.131,0.271,0.037,0.170,0.050,0.000,0.270,0.510,0.361
0.220,0.176,0.213,0.213,0.179,0.274,0.195,0.186,0.310,0.035,0.220,0.030,0.000,0.340,0.410,0.382
0.166,0.186,0.233,0.209,0.206,0.222,0.256,0.267,0.222,0.033,0.190,0.020,0.000,0.350,0.440,0.304
0.203,0.206,0.223,0.149,0.220,0.278,0.238,0.214,0.206,0.063,0.210,0.020,0.000,0.300,0.470,0.426
0.257,0.166,0.213,0.189,0.176,0.353,0.202,0.185,0.210,0.050,0.190,0.020,0.000,0.330,0.460,0.402
0.203,0.159,0.186,0.220,0.233,0.223,0.214,0.233,0.252,0.078,0.190,0.050,0.000,0.350,0.410,0.348
0.196,0.220,0.186,0.193,0.206,0.239,0.239,0.283,0.221,0.018,0.200,0.030,0.000,0.330,0.440,0.382
0.169,0.240,0.203,0.172,0.216,0.186,0.340,0.155,0.247,0.072,0.150,0.040,0.000,0.340,0.470,0.328
0.226,0.166,0.213,0.196,0.199,0.270,0.236,0.202,0.225,0.067,0.200,0.010,0.000,0.320,0.470,0.301
0.260,0.186,0.203,0.189,0.162,0.284,0.216,0.235,0.216,0.049,0.220,0.020,0.010,0.310,0.440,0.345
0.230,0.186,0.213,0.186,0.186,0.244,0.244,0.252,0.187,0.073,0.210,0.020,0.010,0.310,0.450,0.416
0.223,0.199,0.203,0.209,0.166,0.241,0.256,0.203,0.263,0.038,0.210,0.010,0.000,0.320,0.460,0.449
0.213,0.203,0.182,0.176,0.226,0.281,0.264,0.231,0.182,0.041,0.180,0.020,0.000,0.320,0.480,0.409
0.166,0.186,0.166,0.233,0.250,0.221,0.286,0.234,0.208,0.052,0.180,0.010,0.000,0.370,0.440,0.260
0.213,0.182,0.213,0.172,0.220,0.206,0.304,0.265,0.206,0.020,0.220,0.030,0.000,0.290,0.460,0.345
0.203,0.233,0.182,0.220,0.162,0.257,0.277,0.208,0.198,0.059,0.170,0.030,0.000,0.380,0.420,0.341
0.206,0.209,0.189,0.189,0.206,0.213,0.236,0.247,0.213,0.090,0.200,0.020,0.000,0.320,0.460,0.301
0.196,0.182,0.209,0.176,0.236,0.275,0.206,0.255,0.206,0.059,0.230,0.020,0.000,0.290,0.460,0.345
0.182,0.240,0.166,0.216,0.196,0.224,0.276,0.245,0.245,0.010,0.200,0.040,0.000,0.360,0.400,0.331
0.209,0.135,0.193,0.236,0.226,0.262,0.167,0.254,0.278,0.040,0.180,0.030,0.000,0.340,0.450,0.426
0.199,0.196,0.203,0.220,0.182,0.221,0.244,0.290,0.198,0.046,0.140,0.030,0.000,0.390,0.440,0.443
0.159,0.209,0.186,0.243,0.203,0.240,0.350,0.190,0.200,0.020,0.160,0.030,0.000,0.360,0.450,0.338
0.152,0.257,0.216,0.182,0.193,0.212,0.253,0.253,0.263,0.020,0.220,0.050,0.000,0.290,0.440,0.334
0.166,0.203,0.253,0.189,0.189,0.190,0.280,0.330,0.160,0.040,0.210,0.030,0.000,0.360,0.400,0.338
0.213,0.176,0.230,0.199,0.182,0.224,0.246,0.306,0.216,0.007,0.200,0.020,0.020,0.350,0.410,0.453
0.193,0.169,0.257,0.199,0.182,0.262,0.287,0.230,0.172,0.049,0.210,0.010,0.000,0.310,0.470,0.412
0.203,0.166,0.209,0.220,0.203,0.241,0.214,0.232,0.277,0.036,0.210,0.030,0.000,0.300,0.460,0.378
0.196,0.226,0.176,0.196,0.206,0.246,0.270,0.183,0.230,0.071,0.210,0.030,0.000,0.340,0.420,0.426
0.199,0.209,0.203,0.203,0.186,0.297,0.257,0.238,0.188,0.020,0.200,0.020,0.000,0.330,0.450,0.341
0.230,0.216,0.196,0.155,0.203,0.183,0.298,0.231,0.212,0.077,0.240,0.020,0.010,0.300,0.430,0.351
0.213,0.189,0.203,0.193,0.203,0.217,0.192,0.283,0.242,0.067,0.210,0.010,0.000,0.310,0.470,0.405
0.189,0.230,0.220,0.172,0.189,0.171,0.274,0.248,0.299,0.009,0.220,0.030,0.000,0.320,0.430,0.395
0.247,0.230,0.186,0.186,0.152,0.296,0.246,0.190,0.232,0.035,0.180,0.020,0.000,0.340,0.460,0.480
0.182,0.203,0.193,0.196,0.226,0.213,0.225,0.213,0.281,0.067,0.200,0.030,0.000,0.320,0.450,0.301
0.193,0.196,0.182,0.179,0.250,0.242,0.200,0.274,0.263,0.021,0.190,0.040,0.000,0.290,0.480,0.321
0.169,0.247,0.223,0.179,0.182,0.207,0.281,0.240,0.190,0.083,0.250,0.030,0.000,0.290,0.430,0.409
0.189,0.189,0.203,0.220,0.199,0.284,0.211,0.220,0.211,0.073,0.210,0.030,0.000,0.350,0.410,0.368
0.189,0.193,0.223,0.206,0.189,0.243,0.180,0.252,0.288,0.036,0.200,0.020,0.000,0.340,0.440,0.375
0.230,0.179,0.209,0.203,0.179,0.326,0.200,0.178,0.237,0.059,0.150,0.050,0.010,0.300,0.490,0.456
0.186,0.216,0.166,0.216,0.216,0.202,0.330,0.223,0.213,0.032,0.210,0.030,0.000,0.310,0.450,0.318
0.166,0.193,0.213,0.223,0.206,0.191,0.223,0.245,0.309,0.032,0.190,0.020,0.000,0.370,0.420,0.318
0.196,0.223,0.193,0.193,0.196,0.308,0.200,0.250,0.208,0.033,0.220,0.030,0.000,0.330,0.420,0.405
0.196,0.189,0.149,0.162,0.304,0.330,0.237,0.206,0.175,0.052,0.200,0.020,0.000,0.250,0.530,0.328
0.182,0.176,0.196,0.206,0.240,0.276,0.207,0.218,0.276,0.023,0.200,0.020,0.000,0.300,0.480,0.294
0.166,0.216,0.193,0.203,0.223,0.302,0.221,0.279,0.151,0.047,0.220,0.030,0.000,0.360,0.390,0.291
0.186,0.186,0.209,0.189,0.230,0.250,0.218,0.210,0.290,0.032,0.190,0.050,0.000,0.310,0.450,0.419
0.199,0.233,0.179,0.149,0.240,0.231,0.297,0.231,0.209,0.033,0.170,0.030,0.000,0.280,0.520,0.307
0.216,0.179,0.220,0.196,0.189,0.254,0.169,0.289,0.204,0.085,0.150,0.010,0.000,0.360,0.480,0.480
0.226,0.155,0.193,0.243,0.182,0.299,0.205,0.165,0.276,0.055,0.170,0.000,0.000,0.350,0.480,0.429
0.203,0.159,0.247,0.206,0.186,0.236,0.181,0.276,0.252,0.055,0.240,0.010,0.000,0.380,0.370,0.429
0.240,0.182,0.176,0.179,0.223,0.323,0.202,0.218,0.218,0.040,0.170,0.010,0.000,0.320,0.500,0.419
0.162,0.206,0.247,0.203,0.182,0.191,0.227,0.345,0.218,0.018,0.190,0.020,0.010,0.320,0.460,0.372
0.182,0.236,0.196,0.216,0.169,0.190,0.250,0.240,0.280,0.040,0.180,0.030,0.000,0.340,0.450,0.338
0.213,0.186,0.226,0.186,0.189,0.280,0.195,0.263,0.212,0.051,0.210,0.030,0.000,0.300,0.460,0.399
0.240,0.179,0.176,0.203,0.203,0.262,0.215,0.187,0.280,0.056,0.230,0.040,0.000,0.290,0.440,0.361
0.206,0.209,0.223,0.203,0.159,0.219,0.267,0.257,0.210,0.048,0.220,0.050,0.000,0.320,0.410,0.355
0.193,0.199,0.196,0.230,0.182,0.208,0.340,0.179,0.255,0.019,0.230,0.030,0.000,0.350,0.390,0.358
0.216,0.236,0.162,0.189,0.196,0.260,0.290,0.176,0.221,0.053,0.230,0.020,0.000,0.290,0.460,0.443
0.209,0.233,0.189,0.193,0.176,0.274,0.292,0.195,0.195,0.044,0.200,0.030,0.000,0.340,0.430,0.382
0.206,0.196,0.236,0.145,0.216,0.269,0.168,0.252,0.235,0.076,0.170,0.000,0.010,0.310,0.510,0.402
0.226,0.172,0.220,0.196,0.186,0.315,0.189,0.234,0.225,0.036,0.190,0.020,0.000,0.370,0.420,0.375
