# Au,Cu,Pd
0.3750,0.2812,0.3438
0.3743,0.2801,0.3456
0.3763,0.2763,0.3474
0.3757,0.2751,0.3492
0.3767,0.2732,0.3501
0.3760,0.2747,0.3493
0.3743,0.2754,0.3503
0.3753,0.2762,0.3485
0.3774,0.2722,0.3504
0.3784,0.2703,0.3513
0.3767,0.2710,0.3523
0.3750,0.2717,0.3533
0.3771,0.2732,0.3497
0.3736,0.2747,0.3517
0.3736,0.2747,0.3517
0.3764,0.2720,0.3516
0.3774,0.2727,0.3499
0.3785,0.2707,0.3508
0.3806,0.2722,0.3472
0.3799,0.2709,0.3492
0.3820,0.2697,0.3483
0.3803,0.2704,0.3493
0.3775,0.2732,0.3493
0.3739,0.2748,0.3513
0.3750,0.2727,0.3523
0.3714,0.2743,0.3543
0.3696,0.2751,0.3553
0.3660,0.2767,0.3573
0.3652,0.2783,0.3565
0.3663,0.2791,0.3546
0.3655,0.2807,0.3538
0.3647,0.2824,0.3529
0.3639,0.2840,0.3521
0.3631,0.2827,0.3542
0.3623,0.2844,0.3533
0.3634,0.2853,0.3513
0.3615,0.2861,0.3524
0.3595,0.2870,0.3535
0.3595,0.2870,0.3535
0.3617,0.2857,0.3526
0.3578,0.2875,0.3547
0.3558,0.2884,0.3558
0.3548,0.2905,0.3547
0.3558,0.2914,0.3528
0.3550,0.2901,0.3549
0.3569,0.2892,0.3539
0.3569,0.2923,0.3508
0.3591,0.2910,0.3499
0.3583,0.2928,0.3489
0.3563,0.2906,0.3531
0.3585,0.2893,0.3522
0.3565,0.2902,0.3533
0.3587,0.2857,0.3556
0.3599,0.2834,0.3567
0.3590,0.2852,0.3558
0.3601,0.2830,0.3569
0.3625,0.2815,0.3560
0.3613,0.2839,0.3548
0.3645,0.2807,0.3548
0.3604,0.2825,0.3571
0.3616,0.2834,0.3550
0.3639,0.2820,0.3541
0.3585,0.2862,0.3553
0.3598,0.2838,0.3564
0.3609,0.2848,0.3543
0.3588,0.2857,0.3555
0.3612,0.2843,0.3545
0.3637,0.2828,0.3535
0.3652,0.2833,0.3515
0.3686,0.2799,0.3515
0.3652,0.2799,0.3549
0.3677,0.2783,0.3540
0.3690,0.2793,0.3517
0.3668,0.2803,0.3529
0.3655,0.2793,0.3552
0.3643,0.2818,0.3539
0.3668,0.2768,0.3564
0.3693,0.2753,0.3554
0.3684,0.2737,0.3579
0.3697,0.2747,0.3556
0.3675,0.2756,0.3569
0.3675,0.2756,0.3569
0.3710,0.2756,0.3534
0.3688,0.2730,0.3582
0.3643,0.2750,0.3607
0.3633,0.2770,0.3597
0.3646,0.2780,0.3574
0.3610,0.2816,0.3574
0.3597,0.2806,0.3597
0.3597,0.2806,0.3597
0.3574,0.2816,0.3610
0.3564,0.2836,0.3600
0.3577,0.2810,0.3613
0.3603,0.2831,0.3566
0.3603,0.2831,0.3566
0.3630,0.2815,0.3555
0.3619,0.2836,0.3545
0.3633,0.2846,0.3521
0.3623,0.2868,0.3509
0.3650,0.2890,0.3460
0.3640,0.2912,0.3448
0.3668,0.2896,0.3436
0.3682,0.2907,0.3411
0.3658,0.2918,0.3424
0.3658,0.2957,0.3385
0.3658,0.2996,0.3346
0.3672,0.3008,0.3320
0.3672,0.3008,0.3320
0.3721,0.2984,0.3295
0.3721,0.2984,0.3295
0.3735,0.2996,0.3269
0.3735,0.2996,0.3269
0.3721,0.2984,0.3295
0.3760,0.2984,0.3256
0.3760,0.2984,0.3256
0.3735,0.2996,0.3269
0.3735,0.2996,0.3269
0.3745,0.2973,0.3282
0.3760,0.2984,0.3256
0.3760,0.2984,0.3256
0.3789,0.2930,0.3281
0.3750,0.2969,0.3281
0.3750,0.2930,0.3320
0.3779,0.2953,0.3268
0.3730,0.2976,0.3294
0.3730,0.2976,0.3294
0.3770,0.2936,0.3294
0.3720,0.2960,0.3320
0.3720,0.2960,0.3320
0.3720,0.2960,0.3320
0.3720,0.2960,0.3320
0.3735,0.2932,0.3333
0.3710,0.2943,0.3347
0.3684,0.2956,0.3360
0.3659,0.2967,0.3374
0.3663,0.2963,0.3374
0.3678,0.2934,0.3388
0.3704,0.2881,0.3415
0.3644,0.2881,0.3475
0.3648,0.2918,0.3434
0.3540,0.2920,0.3540
0.3723,0.2857,0.3420
0.3712,0.2838,0.3450
0.3712,0.2838,0.3450
0.3712,0.2795,0.3493
0.3649,0.2838,0.3513
0.3636,0.2818,0.3546
0.3709,0.2629,0.3662
0.3666,0.2667,0.3667
0.3684,0.2680,0.3636
0.3738,0.2570,0.3692
0.3768,0.2558,0.3674
0.3750,0.2546,0.3704
0.3768,0.2558,0.3674
0.3738,0.2570,0.3692
0.3756,0.2535,0.3709
0.3791,0.2512,0.3697
0.3839,0.2464,0.3697
0.3905,0.2428,0.3667
0.3905,0.2381,0.3714
0.3892,0.2364,0.3744
0.3950,0.2350,0.3700
0.3950,0.2350,0.3700
0.3938,0.2332,0.3730
0.3947,0.2316,0.3737
0.4011,0.2246,0.3743
0.4032,0.2204,0.3764
0.4054,0.2216,0.3730
0.4076,0.2174,0.3750
0.4054,0.2216,0.3730
0.4076,0.2174,0.3750
0.4098,0.2131,0.3771
0.4098,0.2077,0.3825
0.4185,0.2011,0.3804
0.4262,0.1913,0.3825
0.4317,0.1913,0.3770
0.4396,0.1813,0.3791
0.4333,0.1833,0.3834
0.4389,0.1778,0.3833
0.4396,0.1703,0.3901
0.4457,0.1657,0.3886
0.4451,0.1618,0.3931
0.4389,0.1611,0.4000
0.4444,0.1556,0.4000
0.4451,0.1503,0.4046
0.4438,0.1461,0.4101
0.4561,0.1345,0.4094
0.4588,0.1353,0.4059
0.4647,0.1294,0.4059
0.4647,0.1294,0.4059
0.4674,0.1243,0.4083
0.4762,0.1131,0.4107
0.4762,0.1131,0.4107
0.4762,0.1131,0.4107
0.4790,0.1078,0.4132
0.4813,0.1062,0.4125
0.4905,0.0955,0.4140
0.4870,0.0974,0.4156
0.4837,0.0915,0.4248
0.4901,0.0795,0.4304
0.4934,0.0733,0.4333
0.4899,0.0738,0.4363
0.4967,0.0671,0.4362
0.4966,0.0604,0.4430
0.4933,0.0600,0.4467
0.4898,0.0544,0.4558
0.5000,0.0500,0.4500
0.4930,0.0493,0.4577
0.4930,0.0493,0.4577
0.4965,0.0425,0.4610
0.5000,0.0429,0.4571
0.4965,0.0425,0.4610
0.4964,0.0360,0.4676
0.5076,0.0303,0.4621
0.5038,0.0225,0.4737
0.5038,0.0153,0.4809
0.5000,0.0227,0.4773
0.5038,0.0150,0.4812
0.5077,0.0077,0.4846
0.5077,0.0000,0.4923
0.5000,0.0000,0.5000
0.4961,0.0000,0.5039
0.4922,0.0000,0.5078
0.4844,0.0000,0.5156
0.4844,0.0000,0.5156
0.4702,0.0149,0.5149
0.4776,0.0075,0.5149
0.4737,0.0000,0.5263
0.4737,0.0000,0.5263
0.4812,0.0000,0.5188
0.4812,0.0000,0.5188
0.4812,0.0000,0.5188
0.4809,0.0000,0.5191
0.4848,0.0000,0.5152
0.4848,0.0000,0.5152
0.4848,0.0076,0.5076
0.4885,0.0000,0.5115
0.4885,0.0000,0.5115
0.4809,0.0000,0.5191
0.4809,0.0000,0.5191
0.4806,0.0000,0.5194
0.4729,0.0000,0.5271
0.4701,0.0000,0.5299
0.4706,0.0000,0.5294
0.4701,0.0000,0.5299
0.4621,0.0000,0.5379
0.4656,0.0000,0.5344
0.4656,0.0000,0.5344
0.4615,0.0000,0.5385
0.4574,0.0000,0.5426
0.4488,0.0000,0.5512
0.4488,0.0000,0.5512
0.4409,0.0079,0.5512
0.4400,0.0000,0.5600
0.4400,0.0080,0.5520
0.4400,0.0000,0.5600
0.4385,0.0000,0.5615
0.4341,0.0000,0.5659
0.4331,0.0000,0.5669
0.4252,0.0000,0.5748
0.4375,0.0000,0.5625
0.4453,0.0000,0.5547
0.4419,0.0000,0.5581
0.4462,0.0000,0.5538
0.4496,0.0000,0.5504
0.4419,0.0077,0.5504
0.4480,0.0000,0.5520
0.4524,0.0000,0.5476
0.4597,0.0000,0.5403
0.4597,0.0000,0.5403
0.4640,0.0000,0.5360
0.4553,0.0000,0.5447
0.4560,0.0080,0.5360
0.4553,0.0000,0.5447
0.4590,0.0000,0.5410
0.4583,0.0000,0.5417
0.4583,0.0000,0.5417
0.4538,0.0000,0.5462
0.4492,0.0000,0.5508
0.4530,0.0000,0.5470
0.4530,0.0000,0.5470
0.4522,0.0000,0.5478
0.4444,0.0000,0.5556
0.4492,0.0000,0.5508
0.4407,0.0085,0.5508
0.4397,0.0000,0.5603
0.4435,0.0000,0.5565
0.4435,0.0000,0.5565
0.4348,0.0000,0.5652
0.4348,0.0000,0.5652
0.4348,0.0000,0.5652
0.4359,0.0085,0.5556
0.4397,0.0000,0.5603
0.4359,0.0000,0.5641
0.4435,0.0000,0.5565
0.4397,0.0086,0.5517
0.4359,0.0085,0.5556
0.4359,0.0000,0.5641
0.4492,0.0000,0.5508
0.4397,0.0000,0.5603
0.4348,0.0000,0.5652
0.4386,0.0000,0.5614
0.4386,0.0088,0.5526
0.4386,0.0000,0.5614
0.4348,0.0087,0.5565
0.4435,0.0000,0.5565
0.4435,0.0000,0.5565
0.4435,0.0000,0.5565
0.4474,0.0000,0.5526
0.4561,0.0000,0.5439
0.4561,0.0088,0.5351
0.4643,0.0000,0.5357
0.4643,0.0000,0.5357
0.4643,0.0000,0.5357
0.4554,0.0089,0.5357
0.4554,0.0089,0.5357
0.4595,0.0000,0.5405
0.4595,0.0000,0.5405
0.4554,0.0089,0.5357
0.4561,0.0000,0.5439
0.4602,0.0000,0.5398
0.4561,0.0088,0.5351
0.4554,0.0000,0.5446
0.4464,0.0089,0.5447
0.4505,0.0000,0.5495
0.4474,0.0175,0.5351
0.4561,0.0088,0.5351
0.4649,0.0000,0.5351
0.4649,0.0000,0.5351
0.4649,0.0088,0.5263
0.4602,0.0000,0.5398
0.4554,0.0000,0.5446
0.4561,0.0000,0.5439
0.4643,0.0000,0.5357
0.4685,0.0000,0.5315
0.4636,0.0000,0.5364
0.4630,0.0000,0.5370
0.4630,0.0000,0.5370
0.4537,0.0093,0.5370
0.4579,0.0000,0.5421
0.4537,0.0000,0.5463
0.4454,0.0091,0.5455
0.4495,0.0092,0.5413
0.4455,0.0000,0.5545
0.4505,0.0000,0.5495
0.4464,0.0089,0.5447
0.4505,0.0000,0.5495
0.4464,0.0000,0.5536
0.4474,0.0000,0.5526
0.4435,0.0087,0.5478
0.4513,0.0000,0.5487
0.4513,0.0000,0.5487
0.4425,0.0088,0.5487
0.4425,0.0000,0.5575
0.4386,0.0000,0.5614
0.4425,0.0000,0.5575
0.4474,0.0000,0.5526
0.4561,0.0000,0.5439
0.4483,0.0086,0.5431
0.4522,0.0000,0.5478
0.4609,0.0000,0.5391
0.4569,0.0086,0.5345
0.4569,0.0000,0.5431
0.4609,0.0000,0.5391
0.4602,0.0000,0.5398
0.4595,0.0000,0.5405
0.4636,0.0000,0.5364
0.4679,0.0000,0.5321
0.4685,0.0090,0.5225
0.4771,0.0000,0.5229
0.4771,0.0092,0.5137
0.4909,0.0000,0.5091
0.4955,0.0000,0.5045
0.4911,0.0089,0.5000
0.4818,0.0000,0.5182
0.4865,0.0000,0.5135
0.4865,0.0000,0.5135
0.4911,0.0000,0.5089
0.4865,0.0000,0.5135
0.4867,0.0089,0.5044
0.4732,0.0089,0.5179
0.4775,0.0000,0.5225
0.4818,0.0000,0.5182
