# Au_i,Cu_i,Pt_i,Au_f,Cu_f,Pt_f,Au_d,Cu_d,Pt_d,Sd
0.3100,0.3300,0.3600,0.5200,0.0000,0.4800,0.0000,0.8300,0.1700,0.3750
0.3000,0.3300,0.3700,0.4200,0.0000,0.5800,0.0000,0.8900,0.1100,0.3784
0.3500,0.3700,0.2800,0.4600,0.0000,0.5400,0.0000,0.8400,0.1600,0.2939
0.3400,0.3200,0.3400,0.5000,0.0000,0.5000,0.0000,0.8400,0.1600,0.3378
0.2900,0.3600,0.3500,0.3600,0.0000,0.6400,0.0000,0.9000,0.1000,0.3209
0.3200,0.3800,0.3000,0.3900,0.0000,0.6100,0.0000,0.8400,0.1600,0.2500
0.3600,0.3100,0.3300,0.4700,0.0000,0.5300,0.0000,0.8300,0.1700,0.3108
0.3500,0.3400,0.3100,0.5400,0.0000,0.4600,0.0000,0.7600,0.2400,0.3547
0.2700,0.3700,0.3600,0.3800,0.0000,0.6200,0.0000,0.8700,0.1300,0.2432
0.3200,0.3800,0.3000,0.4600,0.0000,0.5400,0.0000,0.7700,0.2300,0.2635
0.3500,0.3300,0.3200,0.5300,0.0000,0.4700,0.0000,0.8000,0.2000,0.3986
0.3000,0.3600,0.3400,0.5000,0.0000,0.5000,0.0000,0.8300,0.1700,0.3041
0.3300,0.3400,0.3300,0.3500,0.0000,0.6500,0.0000,0.8100,0.1900,0.2399
0.3800,0.3000,0.3200,0.5700,0.0000,0.4300,0.0000,0.8100,0.1900,0.3784
0.3300,0.3500,0.3200,0.4600,0.0000,0.5400,0.0000,0.8400,0.1600,0.3243
0.3500,0.3400,0.3100,0.4500,0.0000,0.5500,0.0000,0.8600,0.1400,0.3176
0.3500,0.3300,0.3200,0.5300,0.0000,0.4700,0.0000,0.8500,0.1500,0.3682
0.3600,0.3500,0.2900,0.4500,0.0000,0.5500,0.0000,0.8700,0.1300,0.2939
0.3800,0.3200,0.3000,0.5300,0.0000,0.4700,0.0000,0.8200,0.1800,0.3480
0.3200,0.3600,0.3200,0.5300,0.0000,0.4700,0.0000,0.8000,0.2000,0.2872
0.3300,0.3300,0.3400,0.5300,0.0000,0.4700,0.0000,0.8600,0.1400,0.2872
0.3700,0.3200,0.3100,0.4800,0.0000,0.5200,0.0000,0.8400,0.1600,0.3277
0.3500,0.3700,0.2800,0.4700,0.0000,0.5300,0.0000,0.8100,0.1900,0.2601
0.3600,0.3400,0.3000,0.5600,0.0000,0.4400,0.0000,0.8400,0.1600,0.3412
0.3200,0.3000,0.3800,0.4300,0.0000,0.5700,0.0000,0.8200,0.1800,0.3209
0.3400,0.3000,0.3600,0.4400,0.0000,0.5600,0.0000,0.8300,0.1700,0.2736
0.3000,0.3300,0.3700,0.4800,0.0000,0.5200,0.0000,0.8300,0.1700,0.3176
0.3000,0.3400,0.3600,0.4100,0.0000,0.5900,0.0000,0.8400,0.1600,0.3412
0.3800,0.2800,0.3400,0.4300,0.0000,0.5700,0.0000,0.8100,0.1900,0.3209
0.3800,0.3300,0.2900,0.5300,0.0000,0.4700,0.0000,0.8000,0.2000,0.3074
0.3200,0.3300,0.3500,0.4700,0.0000,0.5300,0.0000,0.8400,0.1600,0.3446
0.3700,0.3400,0.2900,0.5500,0.0000,0.4500,0.0000,0.8400,0.1600,0.2534
0.3800,0.3400,0.2800,0.5100,0.0000,0.4900,0.0000,0.8400,0.1600,0.2736
0.3200,0.3100,0.3700,0.4400,0.0000,0.5600,0.0000,0.8700,0.1300,0.3480
0.3300,0.3400,0.3300,0.4700,0.0000,0.5300,0.0000,0.8500,0.1500,0.2905
0.2800,0.3700,0.3500,0.4100,0.0000,0.5900,0.0000,0.8200,0.1800,0.3176
0.3800,0.3300,0.2900,0.5300,0.0000,0.4700,0.0000,0.8700,0.1300,0.3007
0.3800,0.2900,0.3300,0.5900,0.0000,0.4100,0.0000,0.8100,0.1900,0.4122
0.3600,0.2900,0.3500,0.3900,0.0000,0.6100,0.0000,0.8400,0.1600,0.3649
0.3700,0.3000,0.3300,0.5400,0.0000,0.4600,0.0000,0.8000,0.2000,0.2804
0.3500,0.3300,0.3200,0.4200,0.0000,0.5800,0.0000,0.8600,0.1400,0.2973
0.3600,0.3100,0.3300,0.5300,0.0000,0.4700,0.0000,0.8600,0.1400,0.3108
0.3500,0.3300,0.3200,0.4600,0.0000,0.5400,0.0000,0.8600,0.1400,0.3581
0.3300,0.3300,0.3400,0.4500,0.0000,0.5500,0.0000,0.8400,0.1600,0.3243
0.3700,0.3100,0.3200,0.4800,0.0000,0.5200,0.0000,0.7900,0.2100,0.3412
0.3500,0.2900,0.3600,0.4300,0.0000,0.5700,0.0000,0.9000,0.1000,0.3581
0.3500,0.3500,0.3000,0.5300,0.0000,0.4700,0.0000,0.8000,0.2000,0.2804
0.3200,0.2900,0.3900,0.4000,0.0000,0.6000,0.0000,0.8400,0.1600,0.3615
0.3000,0.3700,0.3300,0.4700,0.0000,0.5300,0.0000,0.8200,0.1800,0.2703
0.3300,0.3400,0.3300,0.5800,0.0000,0.4200,0.0000,0.8100,0.1900,0.3345
0.3300,0.3000,0.3700,0.4500,0.0000,0.5500,0.0000,0.8200,0.1800,0.3480
0.3800,0.3400,0.2800,0.5300,0.0000,0.4700,0.0000,0.8400,0.1600,0.2736
0.3300,0.3200,0.3500,0.4600,0.0000,0.5400,0.0000,0.8700,0.1300,0.2635
0.3000,0.3800,0.3200,0.4400,0.0000,0.5600,0.0000,0.7900,0.2100,0.2432
0.3300,0.3500,0.3200,0.4400,0.0000,0.5600,0.0000,0.8800,0.1200,0.3547
0.3400,0.3300,0.3300,0.4100,0.0000,0.5900,0.0000,0.8000,0.2000,0.3142
0.3600,0.2900,0.3500,0.4800,0.0000,0.5200,0.0000,0.8100,0.1900,0.3277
0.3100,0.3400,0.3500,0.4800,0.0000,0.5200,0.0000,0.8300,0.1700,0.2973
0.3100,0.3800,0.3100,0.5600,0.0000,0.4400,0.0000,0.8400,0.1600,0.2601
0.3500,0.3000,0.3500,0.6000,0.0000,0.4000,0.0000,0.8400,0.1600,0.4122
0.3500,0.3700,0.2800,0.5300,0.0000,0.4700,0.0000,0.8000,0.2000,0.3074
0.3400,0.3800,0.2800,0.4700,0.0000,0.5300,0.0000,0.8000,0.2000,0.2500
0.3300,0.3600,0.3100,0.4400,0.0000,0.5600,0.0000,0.8500,0.1500,0.2872
0.3100,0.3100,0.3800,0.4900,0.0000,0.5100,0.0000,0.8200,0.1800,0.3412
0.3400,0.3400,0.3200,0.5100,0.0000,0.4900,0.0000,0.7800,0.2200,0.3818
0.3800,0.3200,0.3000,0.5800,0.0000,0.4200,0.0000,0.8200,0.1800,0.3345
0.3500,0.3400,0.3100,0.5500,0.0000,0.4500,0.0000,0.7900,0.2100,0.3074
0.3400,0.2900,0.3700,0.4500,0.0000,0.5500,0.0000,0.8300,0.1700,0.2939
0.3100,0.3500,0.3400,0.4500,0.0000,0.5500,0.0000,0.8000,0.2000,0.3243
0.3600,0.3100,0.3300,0.5500,0.0000,0.4500,0.0000,0.8800,0.1200,0.3547
0.2800,0.3600,0.3600,0.5900,0.0000,0.4100,0.0000,0.8200,0.1800,0.2872
0.2900,0.3700,0.3400,0.4600,0.0000,0.5400,0.0000,0.8400,0.1600,0.2804
0.3100,0.3700,0.3200,0.4200,0.0000,0.5800,0.0000,0.8300,0.1700,0.2466
0.3500,0.3400,0.3100,0.5000,0.0000,0.5000,0.0000,0.8300,0.1700,0.2230
0.3300,0.3100,0.3600,0.5300,0.0000,0.4700,0.0000,0.8500,0.1500,0.2872
0.3400,0.3200,0.3400,0.4700,0.0000,0.5300,0.0000,0.8300,0.1700,0.2905
0.3700,0.3300,0.3000,0.5500,0.0000,0.4500,0.0000,0.8200,0.1800,0.3345
0.3800,0.3200,0.3000,0.4900,0.0000,0.5100,0.0000,0.8000,0.2000,0.2872
0.3200,0.3300,0.3500,0.4700,0.0000,0.5300,0.0000,0.8200,0.1800,0.3108
0.3400,0.3600,0.3000,0.5200,0.0000,0.4800,0.0000,0.8600,0.1400,0.2939
0.3300,0.3400,0.3300,0.4100,0.0000,0.5900,0.0000,0.8400,0.1600,0.3176
0.3700,0.3400,0.2900,0.5700,0.0000,0.4300,0.0000,0.8300,0.1700,0.2770
0.3500,0.3000,0.3500,0.3700,0.0000,0.6300,0.0000,0.8500,0.1500,0.3480
0.3400,0.3400,0.3200,0.5200,0.0000,0.4800,0.0000,0.8200,0.1800,0.3480
0.3700,0.3500,0.2800,0.5200,0.0000,0.4800,0.0000,0.8500,0.1500,0.3243
0.3400,0.3400,0.3200,0.5700,0.0000,0.4300,0.0000,0.8200,0.1800,0.3514
0.3500,0.3400,0.3100,0.5700,0.0000,0.4300,0.0000,0.8100,0.1900,0.2905
0.3300,0.3500,0.3200,0.5200,0.0000,0.4800,0.0000,0.8300,0.1700,0.3311
0.3300,0.3100,0.3600,0.4500,0.0000,0.5500,0.0000,0.8100,0.1900,0.3716
0.3700,0.3200,0.3100,0.4700,0.0000,0.5300,0.0000,0.8400,0.1600,0.2939
0.3200,0.3800,0.3000,0.5700,0.0000,0.4300,0.0000,0.8000,0.2000,0.2669
0.3500,0.3100,0.3400,0.4500,0.0000,0.5500,0.0000,0.7700,0.2300,0.3142
0.3500,0.3400,0.3100,0.5400,0.0000,0.4600,0.0000,0.8100,0.1900,0.3514
0.3500,0.3100,0.3400,0.4600,0.0000,0.5400,0.0000,0.8600,0.1400,0.3345
0.3200,0.3500,0.3300,0.5600,0.0000,0.4400,0.0000,0.8000,0.2000,0.3041
0.3600,0.3400,0.3000,0.6300,0.0000,0.3700,0.0000,0.8100,0.1900,0.3277
0.3900,0.3100,0.3000,0.5000,0.0000,0.5000,0.0000,0.8100,0.1900,0.3615
0.3100,0.3300,0.3600,0.4500,0.0000,0.5500,0.0000,0.8600,0.1400,0.2973
0.3600,0.3700,0.2700,0.5300,0.0000,0.4700,0.0000,0.8400,0.1600,0.3007
0.3300,0.2800,0.3900,0.5000,0.0000,0.5000,0.0000,0.8900,0.1100,0.3716
