# Au_b,Cu_b,Pt_b,Au_isc,Cu_isc,Pt_isc,Au_fsc,Cu_fsc,Pt_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000
0.950,0.050,0.000,0.951,0.049,0.000,1.000,0.000,0.000,0.776
0.950,0.000,0.050,0.951,0.000,0.049,0.952,0.000,0.048,0.936
0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.000,0.660
0.900,0.050,0.050,0.895,0.055,0.050,0.948,0.000,0.052,0.741
0.900,0.000,0.100,0.895,0.000,0.105,0.894,0.000,0.106,0.890
0.850,0.150,0.000,0.850,0.150,0.000,1.000,0.000,0.000,0.544
0.850,0.100,0.050,0.850,0.101,0.049,0.943,0.000,0.057,0.614
0.850,0.050,0.100,0.848,0.046,0.106,0.886,0.000,0.114,0.727
0.850,0.000,0.150,0.850,0.000,0.150,0.846,0.000,0.154,0.865
0.800,0.200,0.000,0.794,0.206,0.000,1.000,0.000,0.000,0.474
0.800,0.150,0.050,0.794,0.155,0.051,0.943,0.000,0.057,0.531
0.800,0.100,0.100,0.794,0.101,0.105,0.879,0.000,0.121,0.591
0.800,0.050,0.150,0.794,0.054,0.152,0.839,0.000,0.161,0.668
0.800,0.000,0.200,0.794,0.000,0.206,0.787,0.000,0.213,0.835
0.750,0.250,0.000,0.752,0.248,0.000,1.000,0.000,0.000,0.411
0.750,0.200,0.050,0.752,0.198,0.050,0.937,0.000,0.063,0.465
0.750,0.150,0.100,0.752,0.143,0.105,0.882,0.000,0.118,0.520
0.750,0.100,0.150,0.752,0.097,0.151,0.828,0.000,0.172,0.579
0.750,0.050,0.200,0.751,0.044,0.205,0.780,0.000,0.220,0.690
0.750,0.000,0.250,0.752,0.000,0.248,0.742,0.000,0.258,0.828
0.700,0.300,0.000,0.705,0.295,0.000,1.000,0.000,0.000,0.370
0.700,0.250,0.050,0.704,0.246,0.050,0.934,0.000,0.066,0.406
0.700,0.200,0.100,0.705,0.189,0.106,0.863,0.000,0.137,0.466
0.700,0.150,0.150,0.705,0.145,0.150,0.813,0.000,0.187,0.533
0.700,0.100,0.200,0.704,0.091,0.205,0.762,0.000,0.238,0.603
0.700,0.050,0.250,0.704,0.049,0.247,0.715,0.000,0.285,0.686
0.700,0.000,0.300,0.705,0.000,0.295,0.688,0.000,0.312,0.833
0.650,0.350,0.000,0.657,0.343,0.000,1.000,0.000,0.000,0.309
0.650,0.300,0.050,0.657,0.294,0.049,0.923,0.000,0.077,0.344
0.650,0.250,0.100,0.655,0.240,0.105,0.866,0.000,0.134,0.393
0.650,0.200,0.150,0.657,0.194,0.149,0.807,0.000,0.193,0.439
0.650,0.150,0.200,0.655,0.139,0.206,0.756,0.000,0.244,0.507
0.650,0.100,0.250,0.657,0.095,0.248,0.719,0.000,0.281,0.562
0.650,0.050,0.300,0.656,0.049,0.295,0.674,0.000,0.326,0.670
0.650,0.000,0.350,0.657,0.000,0.343,0.638,0.000,0.362,0.847
0.600,0.400,0.000,0.606,0.394,0.000,1.000,0.000,0.000,0.269
0.600,0.350,0.050,0.607,0.344,0.049,0.926,0.000,0.074,0.303
0.600,0.300,0.100,0.607,0.288,0.105,0.845,0.000,0.155,0.346
0.600,0.250,0.150,0.607,0.242,0.151,0.794,0.000,0.206,0.394
0.600,0.200,0.200,0.606,0.188,0.206,0.745,0.000,0.255,0.435
0.600,0.150,0.250,0.607,0.145,0.248,0.704,0.000,0.296,0.497
0.600,0.100,0.300,0.606,0.098,0.296,0.650,0.000,0.350,0.574
0.600,0.050,0.350,0.607,0.049,0.344,0.621,0.000,0.379,0.693
0.600,0.000,0.400,0.606,0.000,0.394,0.586,0.000,0.414,0.856
0.550,0.450,0.000,0.551,0.449,0.000,1.000,0.000,0.000,0.242
0.550,0.400,0.050,0.552,0.397,0.051,0.908,0.000,0.092,0.264
0.550,0.350,0.100,0.552,0.342,0.106,0.842,0.000,0.158,0.295
0.550,0.300,0.150,0.552,0.297,0.151,0.779,0.000,0.221,0.345
0.550,0.250,0.200,0.551,0.245,0.204,0.726,0.000,0.274,0.378
0.550,0.200,0.250,0.554,0.198,0.248,0.670,0.000,0.330,0.422
0.550,0.150,0.300,0.552,0.150,0.298,0.629,0.000,0.371,0.504
0.550,0.100,0.350,0.552,0.104,0.344,0.597,0.000,0.403,0.582
0.550,0.050,0.400,0.552,0.054,0.394,0.561,0.000,0.439,0.688
0.550,0.000,0.450,0.551,0.000,0.449,0.533,0.000,0.467,0.891
0.500,0.500,0.000,0.497,0.503,0.000,1.000,0.000,0.000,0.214
0.500,0.450,0.050,0.497,0.453,0.050,0.924,0.000,0.076,0.231
0.500,0.400,0.100,0.497,0.398,0.105,0.813,0.000,0.187,0.254
0.500,0.350,0.150,0.497,0.352,0.151,0.757,0.000,0.243,0.301
0.500,0.300,0.200,0.497,0.297,0.206,0.708,0.000,0.292,0.330
0.500,0.250,0.250,0.497,0.254,0.249,0.673,0.000,0.327,0.389
0.500,0.200,0.300,0.497,0.206,0.297,0.612,0.000,0.388,0.448
0.500,0.150,0.350,0.497,0.159,0.344,0.571,0.000,0.429,0.507
0.500,0.100,0.400,0.497,0.109,0.394,0.539,0.000,0.461,0.592
0.500,0.050,0.450,0.497,0.055,0.448,0.508,0.000,0.492,0.706
0.500,0.000,0.500,0.497,0.000,0.503,0.484,0.000,0.516,0.927
0.450,0.550,0.000,0.450,0.550,0.000,1.000,0.000,0.000,0.186
0.450,0.500,0.050,0.448,0.502,0.050,0.908,0.000,0.092,0.209
0.450,0.450,0.100,0.449,0.446,0.105,0.827,0.000,0.173,0.242
0.450,0.400,0.150,0.448,0.402,0.150,0.744,0.000,0.256,0.268
0.450,0.350,0.200,0.448,0.346,0.206,0.678,0.000,0.322,0.299
0.450,0.300,0.250,0.449,0.303,0.248,0.623,0.000,0.377,0.347
0.450,0.250,0.300,0.449,0.255,0.296,0.579,0.000,0.421,0.403
0.450,0.200,0.350,0.449,0.207,0.344,0.543,0.000,0.457,0.460
0.450,0.150,0.400,0.448,0.159,0.393,0.528,0.000,0.472,0.527
0.450,0.100,0.450,0.448,0.104,0.448,0.482,0.000,0.518,0.623
0.450,0.050,0.500,0.448,0.049,0.503,0.450,0.001,0.549,0.744
0.450,0.000,0.550,0.450,0.000,0.550,0.435,0.000,0.565,0.951
0.400,0.600,0.000,0.392,0.608,0.000,1.000,0.000,0.000,0.176
0.400,0.550,0.050,0.392,0.559,0.049,0.896,0.000,0.104,0.186
0.400,0.500,0.100,0.390,0.505,0.105,0.802,0.000,0.198,0.214
0.400,0.450,0.150,0.392,0.458,0.150,0.746,0.000,0.254,0.235
0.400,0.400,0.200,0.390,0.404,0.206,0.662,0.000,0.338,0.264
0.400,0.350,0.250,0.391,0.361,0.248,0.591,0.000,0.409,0.307
0.400,0.300,0.300,0.390,0.314,0.296,0.551,0.000,0.449,0.343
0.400,0.250,0.350,0.392,0.265,0.343,0.529,0.000,0.471,0.414
0.400,0.200,0.400,0.392,0.215,0.393,0.485,0.000,0.515,0.451
0.400,0.150,0.450,0.389,0.162,0.449,0.443,0.001,0.556,0.528
0.400,0.100,0.500,0.391,0.106,0.503,0.425,0.001,0.574,0.602
0.400,0.050,0.550,0.391,0.059,0.550,0.407,0.000,0.593,0.737
0.400,0.000,0.600,0.392,0.000,0.608,0.381,0.000,0.619,0.970
0.350,0.650,0.000,0.337,0.663,0.000,1.000,0.000,0.000,0.150
0.350,0.600,0.050,0.337,0.614,0.049,0.878,0.000,0.122,0.150
0.350,0.550,0.100,0.338,0.557,0.105,0.789,0.000,0.211,0.167
0.350,0.500,0.150,0.338,0.511,0.151,0.686,0.000,0.314,0.185
0.350,0.450,0.200,0.337,0.458,0.205,0.648,0.000,0.352,0.234
0.350,0.400,0.250,0.337,0.415,0.248,0.576,0.000,0.424,0.270
0.350,0.350,0.300,0.338,0.367,0.295,0.518,0.000,0.482,0.309
0.350,0.300,0.350,0.337,0.319,0.344,0.486,0.000,0.514,0.328
0.350,0.250,0.400,0.337,0.270,0.393,0.438,0.001,0.561,0.391
0.350,0.200,0.450,0.337,0.216,0.447,0.418,0.001,0.581,0.449
0.350,0.150,0.500,0.337,0.160,0.503,0.392,0.002,0.606,0.538
0.350,0.100,0.550,0.337,0.112,0.551,0.373,0.000,0.627,0.628
0.350,0.050,0.600,0.337,0.055,0.608,0.349,0.001,0.650,0.772
0.350,0.000,0.650,0.337,0.000,0.663,0.328,0.000,0.672,0.979
0.300,0.700,0.000,0.288,0.712,0.000,1.000,0.000,0.000,0.126
0.300,0.650,0.050,0.288,0.662,0.050,0.866,0.000,0.134,0.143
0.300,0.600,0.100,0.288,0.606,0.106,0.779,0.000,0.221,0.145
0.300,0.550,0.150,0.289,0.560,0.151,0.693,0.000,0.307,0.174
0.300,0.500,0.200,0.289,0.508,0.203,0.614,0.000,0.386,0.198
0.300,0.450,0.250,0.290,0.462,0.248,0.571,0.000,0.429,0.237
0.300,0.400,0.300,0.288,0.417,0.295,0.470,0.000,0.530,0.248
0.300,0.350,0.350,0.289,0.368,0.343,0.426,0.000,0.574,0.295
0.300,0.300,0.400,0.288,0.318,0.394,0.394,0.000,0.606,0.355
0.300,0.250,0.450,0.287,0.265,0.448,0.386,0.001,0.613,0.409
0.300,0.200,0.500,0.288,0.209,0.503,0.359,0.003,0.638,0.476
0.300,0.150,0.550,0.290,0.160,0.550,0.337,0.001,0.662,0.541
0.300,0.100,0.600,0.289,0.102,0.609,0.312,0.001,0.687,0.657
0.300,0.050,0.650,0.290,0.047,0.663,0.298,0.002,0.700,0.770
0.300,0.000,0.700,0.288,0.000,0.712,0.282,0.000,0.718,0.987
0.250,0.750,0.000,0.233,0.767,0.000,1.000,0.000,0.000,0.112
0.250,0.700,0.050,0.233,0.717,0.050,0.888,0.000,0.112,0.109
0.250,0.650,0.100,0.233,0.662,0.105,0.771,0.000,0.229,0.125
0.250,0.600,0.150,0.233,0.617,0.150,0.660,0.000,0.340,0.149
0.250,0.550,0.200,0.233,0.562,0.205,0.540,0.000,0.460,0.181
0.250,0.500,0.250,0.233,0.520,0.247,0.506,0.000,0.494,0.205
0.250,0.450,0.300,0.233,0.471,0.296,0.449,0.000,0.551,0.222
0.250,0.400,0.350,0.233,0.424,0.343,0.414,0.000,0.586,0.260
0.250,0.350,0.400,0.233,0.374,0.393,0.355,0.000,0.645,0.311
0.250,0.300,0.450,0.233,0.320,0.447,0.354,0.002,0.644,0.353
0.250,0.250,0.500,0.232,0.265,0.503,0.322,0.003,0.675,0.410
0.250,0.200,0.550,0.233,0.215,0.552,0.304,0.001,0.695,0.465
0.250,0.150,0.600,0.233,0.159,0.608,0.271,0.003,0.726,0.546
0.250,0.100,0.650,0.233,0.105,0.662,0.259,0.004,0.737,0.652
0.250,0.050,0.700,0.233,0.056,0.711,0.251,0.001,0.748,0.764
0.250,0.000,0.750,0.233,0.000,0.767,0.231,0.000,0.769,0.995
0.200,0.800,0.000,0.189,0.811,0.000,1.000,0.000,0.000,0.083
0.200,0.750,0.050,0.189,0.759,0.052,0.858,0.000,0.142,0.084
0.200,0.700,0.100,0.188,0.706,0.106,0.710,0.000,0.290,0.108
0.200,0.650,0.150,0.189,0.660,0.151,0.622,0.000,0.378,0.119
0.200,0.600,0.200,0.188,0.607,0.205,0.494,0.000,0.506,0.132
0.200,0.550,0.250,0.187,0.565,0.248,0.451,0.000,0.549,0.169
0.200,0.500,0.300,0.189,0.514,0.297,0.394,0.000,0.606,0.196
0.200,0.450,0.350,0.188,0.467,0.345,0.377,0.000,0.623,0.236
0.200,0.400,0.400,0.188,0.418,0.394,0.335,0.000,0.665,0.268
0.200,0.350,0.450,0.188,0.364,0.448,0.303,0.004,0.693,0.306
0.200,0.300,0.500,0.187,0.310,0.503,0.283,0.006,0.711,0.361
0.200,0.250,0.550,0.188,0.258,0.554,0.247,0.004,0.749,0.405
0.200,0.200,0.600,0.188,0.201,0.611,0.235,0.004,0.761,0.486
0.200,0.150,0.650,0.188,0.150,0.662,0.218,0.007,0.775,0.560
0.200,0.100,0.700,0.189,0.099,0.712,0.216,0.006,0.778,0.649
0.200,0.050,0.750,0.189,0.044,0.767,0.199,0.004,0.797,0.805
0.200,0.000,0.800,0.189,0.000,0.811,0.189,0.000,0.811,0.997
0.150,0.850,0.000,0.146,0.854,0.000,1.000,0.000,0.000,0.055
0.150,0.800,0.050,0.146,0.805,0.049,0.819,0.000,0.181,0.076
0.150,0.750,0.100,0.145,0.750,0.105,0.681,0.000,0.319,0.080
0.150,0.700,0.150,0.144,0.707,0.149,0.555,0.000,0.445,0.099
0.150,0.650,0.200,0.143,0.651,0.206,0.478,0.000,0.522,0.103
0.150,0.600,0.250,0.147,0.605,0.248,0.396,0.000,0.604,0.123
0.150,0.550,0.300,0.147,0.558,0.295,0.347,0.000,0.653,0.170
0.150,0.500,0.350,0.146,0.511,0.343,0.326,0.000,0.674,0.206
0.150,0.450,0.400,0.143,0.464,0.393,0.295,0.000,0.705,0.242
0.150,0.400,0.450,0.143,0.408,0.449,0.255,0.004,0.741,0.275
0.150,0.350,0.500,0.145,0.352,0.503,0.224,0.007,0.769,0.308
0.150,0.300,0.550,0.145,0.304,0.551,0.221,0.002,0.777,0.370
0.150,0.250,0.600,0.146,0.246,0.608,0.172,0.004,0.824,0.431
0.150,0.200,0.650,0.145,0.193,0.662,0.175,0.007,0.818,0.486
0.150,0.150,0.700,0.146,0.142,0.712,0.159,0.009,0.832,0.579
0.150,0.100,0.750,0.146,0.087,0.767,0.149,0.008,0.843,0.688
0.150,0.050,0.800,0.143,0.046,0.811,0.150,0.003,0.847,0.814
0.150,0.000,0.850,0.146,0.000,0.854,0.145,0.000,0.855,0.999
0.100,0.900,0.000,0.098,0.902,0.000,1.000,0.000,0.000,0.024
0.100,0.850,0.050,0.098,0.852,0.050,0.776,0.000,0.224,0.042
0.100,0.800,0.100,0.099,0.796,0.105,0.640,0.000,0.360,0.052
0.100,0.750,0.150,0.098,0.752,0.150,0.383,0.000,0.617,0.060
0.100,0.700,0.200,0.098,0.698,0.204,0.388,0.000,0.612,0.078
0.100,0.650,0.250,0.099,0.654,0.247,0.270,0.003,0.727,0.096
0.100,0.600,0.300,0.099,0.606,0.295,0.236,0.000,0.764,0.132
0.100,0.550,0.350,0.099,0.558,0.343,0.204,0.000,0.796,0.164
0.100,0.500,0.400,0.098,0.508,0.394,0.195,0.002,0.803,0.202
0.100,0.450,0.450,0.100,0.451,0.449,0.172,0.011,0.817,0.235
0.100,0.400,0.500,0.098,0.399,0.503,0.164,0.007,0.829,0.284
0.100,0.350,0.550,0.099,0.350,0.551,0.146,0.006,0.848,0.319
0.100,0.300,0.600,0.099,0.292,0.609,0.127,0.006,0.867,0.366
0.100,0.250,0.650,0.099,0.239,0.662,0.128,0.013,0.859,0.424
0.100,0.200,0.700,0.100,0.189,0.711,0.107,0.011,0.882,0.491
0.100,0.150,0.750,0.098,0.135,0.767,0.106,0.016,0.878,0.603
0.100,0.100,0.800,0.099,0.090,0.811,0.103,0.016,0.881,0.704
0.100,0.050,0.850,0.099,0.047,0.854,0.096,0.017,0.887,0.833
0.100,0.000,0.900,0.098,0.000,0.902,0.098,0.000,0.902,1.000
0.050,0.950,0.000,0.044,0.956,0.000,0.800,0.000,0.000,0.006
0.050,0.900,0.050,0.044,0.907,0.049,0.727,0.000,0.273,0.011
0.050,0.850,0.100,0.044,0.851,0.105,0.542,0.000,0.458,0.019
0.050,0.800,0.150,0.044,0.804,0.152,0.369,0.000,0.631,0.028
0.050,0.750,0.200,0.044,0.751,0.205,0.281,0.000,0.719,0.046
0.050,0.700,0.250,0.045,0.707,0.248,0.174,0.000,0.826,0.077
0.050,0.650,0.300,0.046,0.658,0.296,0.121,0.003,0.876,0.113
0.050,0.600,0.350,0.044,0.612,0.344,0.137,0.000,0.863,0.149
0.050,0.550,0.400,0.044,0.562,0.394,0.096,0.008,0.896,0.179
0.050,0.500,0.450,0.045,0.506,0.449,0.080,0.009,0.911,0.198
0.050,0.450,0.500,0.045,0.452,0.503,0.085,0.015,0.900,0.250
0.050,0.400,0.550,0.044,0.404,0.552,0.068,0.007,0.925,0.251
0.050,0.350,0.600,0.044,0.348,0.608,0.064,0.010,0.926,0.331
0.050,0.300,0.650,0.045,0.292,0.663,0.062,0.015,0.923,0.364
0.050,0.250,0.700,0.045,0.244,0.711,0.051,0.024,0.925,0.423
0.050,0.200,0.750,0.046,0.187,0.767,0.053,0.028,0.919,0.518
0.050,0.150,0.800,0.045,0.143,0.812,0.053,0.025,0.922,0.600
0.050,0.100,0.850,0.044,0.100,0.856,0.044,0.032,0.924,0.708
0.050,0.050,0.900,0.045,0.054,0.901,0.044,0.022,0.934,0.837
0.050,0.000,0.950,0.044,0.000,0.956,0.044,0.000,0.956,1.000
0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0.000,0.950,0.050,0.000,0.951,0.049,0.000,0.000,0.000,0.000
0.000,0.900,0.100,0.000,0.895,0.105,0.000,0.000,0.400,0.005
0.000,0.850,0.150,0.000,0.850,0.150,0.000,0.000,1.000,0.018
0.000,0.800,0.200,0.000,0.794,0.206,0.000,0.000,1.000,0.046
0.000,0.750,0.250,0.000,0.752,0.248,0.000,0.000,1.000,0.076
0.000,0.700,0.300,0.000,0.705,0.295,0.000,0.006,0.994,0.111
0.000,0.650,0.350,0.000,0.657,0.343,0.000,0.006,0.994,0.142
0.000,0.600,0.400,0.000,0.606,0.394,0.000,0.011,0.989,0.163
0.000,0.550,0.450,0.000,0.551,0.449,0.000,0.021,0.979,0.181
0.000,0.500,0.500,0.000,0.497,0.503,0.000,0.017,0.983,0.214
0.000,0.450,0.550,0.000,0.450,0.550,0.000,0.019,0.981,0.242
0.000,0.400,0.600,0.000,0.392,0.608,0.000,0.021,0.979,0.292
0.000,0.350,0.650,0.000,0.337,0.663,0.000,0.028,0.972,0.307
0.000,0.300,0.700,0.000,0.288,0.712,0.000,0.031,0.969,0.381
0.000,0.250,0.750,0.000,0.233,0.767,0.000,0.039,0.961,0.458
0.000,0.200,0.800,0.000,0.189,0.811,0.000,0.041,0.959,0.536
0.000,0.150,0.850,0.000,0.146,0.854,0.000,0.053,0.947,0.623
0.000,0.100,0.900,0.000,0.098,0.902,0.000,0.053,0.947,0.751
0.000,0.050,0.950,0.000,0.044,0.956,0.000,0.035,0.965,0.909
0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000
